,trade_date,value,change
0,20160104,19.604168,0.0
1,20160129,16.5498429,-0.15579978196473318
2,20160229,15.946636699999999,-0.03644785051101618
3,20160301,16.277833,0.020769037774592432
4,20160331,19.0670733,0.17135206510596337
5,20160401,18.90516307,-0.008491614179717877
6,20160429,18.798591899999998,-0.00563714629730524
7,20160503,19.44325902,0.03429337279245906
8,20160531,19.1727385,-0.013913332107633366
9,20160601,19.17030039,-0.0001271654542203211
10,20160630,20.6415562,0.07674662264381965
11,20160701,20.42570673,-0.010457034726868047
12,20160729,21.155920599999995,0.03574974808227813
13,20160801,21.17154092,0.0007383427218954078
14,20160831,21.838748199999998,0.031514346665702964
15,20160901,21.70931085,-0.005926958304322423
16,20160930,20.8819366,-0.038111493069343645
17,20161010,21.20435502,0.015440063159659328
18,20161031,21.7969777,0.027948158736308407
19,20161101,21.88054011,0.003833669564198296
20,20161130,22.111575199999997,0.010558929936761918
21,20161201,22.5895747,0.021617614108288535
22,20161230,22.4580985,-0.005820215818405895
23,20170103,22.559779239999997,0.004527575653833696
24,20170126,23.1718988,0.027133224730970535
25,20170203,23.18161791,0.0004194351996737928
26,20170228,23.5455182,0.015697795184650257
27,20170301,23.647145190000003,0.004316192539776139
28,20170331,25.5049046,0.07856167816762985
29,20170405,25.62062295,0.004537101856087775
30,20170428,26.2294686,0.023763889394422363
31,20170502,26.13944285,-0.0034322369001407197
32,20170531,27.966303700000005,0.06988905082955915
33,20170601,28.35646513,0.013951126118965644
34,20170630,30.454762000000002,0.07399712412602827
35,20170703,29.744133030000004,-0.023333919667472638
36,20170731,30.4058121,0.022245700331309824
37,20170801,30.652697380000003,0.008119673935629047
38,20170831,31.344300199999992,0.022562543564314183
39,20170901,31.695315580000003,0.011198698894544485
40,20170929,33.2008744,0.04750098847256828
41,20171009,33.867596330000005,0.02008145695102562
42,20171031,40.0038786,0.18118446346794503
43,20171101,40.25577177,0.006296718688672414
44,20171130,41.0992639,0.02095332154651656
45,20171201,40.48804885,-0.014871678760163841
46,20171229,45.7428619,0.12978676916410614
47,20180102,46.27425894,0.011617048385859776
48,20180131,50.1056078,0.08279654710338616
49,20180201,49.727098319999996,-0.007554233879585935
50,20180228,47.4579764,-0.04563149664188965
51,20180301,48.63135553,0.024724592555530892
52,20180330,45.449227699999994,-0.06543366507719482
53,20180402,45.02980441,-0.009228392015118828
54,20180427,43.62553929999999,-0.031185236720418712
55,20180502,44.13114458,0.011589662571804693
56,20180531,50.3797379,0.14159146288790875
57,20180601,49.68933511,-0.013703977407949163
58,20180629,49.38774690000001,-0.006069475659763791
59,20180702,48.05694941,-0.026945904065933585
60,20180731,48.3779765,0.006680138750821328
61,20180801,47.57987557,-0.01649719537153448
62,20180831,43.6783663,-0.08199914823778927
63,20180903,44.117722070000006,0.0100588874359984
64,20180928,47.83475080000001,0.08425250796272588
65,20181008,44.49636509999999,-0.0697899674225964
66,20181031,35.7671329,-0.1961785458291287
67,20181101,36.80290526000001,0.028958775166460435
68,20181203,40.00927957999999,0.08712285884356238
69,20181228,38.430924000000005,-0.03944973757510448
70,20190201,46.136103930000004,0.20049426680451396
71,20190228,49.288726,0.06833307976727528
72,20190301,52.00560700999999,0.05512175360345071
73,20190329,58.4622734,0.12415327425672538
