,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
80,510300.SH,20181231,601628.SH,120945201.66,5931594.0,0.36
81,510300.SH,20181231,600406.SH,120490546.74,6502458.0,0.36
82,510300.SH,20181231,600886.SH,116497120.6,14471692.0,0.35
83,510300.SH,20181231,600011.SH,113684449.86,15404397.0,0.34
84,510300.SH,20181231,600660.SH,112691999.38,4946971.0,0.34
85,510300.SH,20181231,600795.SH,107268413.44,41901724.0,0.32
86,510300.SH,20181231,601933.SH,107070027.84,13604832.0,0.32
87,510300.SH,20181231,601225.SH,106360008.0,14295700.0,0.32
88,510300.SH,20181231,600741.SH,105236720.8,5719387.0,0.32
89,510300.SH,20181231,000568.SZ,103580618.12,2547482.0,0.31
90,510300.SH,20181231,600958.SH,103561032.32,12993856.0,0.31
91,510300.SH,20181231,600518.SH,99251601.84,10776504.0,0.3
92,510300.SH,20181231,000166.SZ,97745962.49,24016207.0,0.29
93,510300.SH,20181231,600703.SH,97709702.61,8639231.0,0.29
94,510300.SH,20181231,601669.SH,97633954.26,20089291.0,0.29
95,510300.SH,20181231,002044.SZ,96901220.65,6481687.0,0.29
96,510300.SH,20181231,600436.SH,95926402.4,1107056.0,0.29
97,510300.SH,20181231,002008.SZ,95338020.36,3140251.0,0.29
98,510300.SH,20181231,000100.SZ,94482723.65,38564377.0,0.28
99,510300.SH,20181231,300015.SZ,90901584.2,3456334.0,0.27
100,510300.SH,20181231,600352.SH,89840149.0,9309860.0,0.27
101,510300.SH,20181231,600089.SH,89751564.42,13218198.0,0.27
102,510300.SH,20181231,600271.SH,88540511.43,3868087.0,0.27
103,510300.SH,20181231,600570.SH,88020021.12,1693344.0,0.26
104,510300.SH,20181231,601985.SH,87932342.58,16685454.0,0.26
105,510300.SH,20181231,601800.SH,87793150.3,7796905.0,0.26
106,510300.SH,20181231,000069.SZ,87386979.15,13761729.0,0.26
107,510300.SH,20181231,000661.SZ,87208800.0,498336.0,0.26
