,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
59,000001.SZ,20170630,利息收入:其他(产品),1844000000.0,,,CNY
60,000001.SZ,20170630,非利息收入:手续费及佣金收入:银行卡业务(产品),7642000000.0,,,CNY
61,000001.SZ,20170630,非利息收入:手续费及佣金收入:代理委托业务(产品),1660000000.0,,,CNY
62,000001.SZ,20170630,非利息收入:手续费及佣金收入:理财业务(产品),2324000000.0,,,CNY
63,000001.SZ,20170630,非利息收入:手续费及佣金收入:财务顾问业务(产品),1752000000.0,,,CNY
64,000001.SZ,20170630,非利息收入:手续费及佣金收入:结算业务(产品),1274000000.0,,,CNY
65,000001.SZ,20170630,非利息收入:手续费及佣金收入:其他(产品),3217000000.0,,,CNY
66,000001.SZ,20170630,利息收入:发放贷款及垫款(产品),45912000000.0,,,CNY
67,000001.SZ,20170630,利息收入:发放贷款及垫款:公司贷款业务(产品),21386000000.0,,,CNY
68,000001.SZ,20170630,利息收入:发放贷款及垫款:个人贷款业务(产品),24420000000.0,,,CNY
69,000001.SZ,20170630,利息收入:发放贷款及垫款:票据贴现业务(产品),106000000.0,,,CNY
70,000001.SZ,20170630,利息收入:债券投资(产品),16142000000.0,,,CNY
71,000001.SZ,20170630,利息收入:金融企业往来(产品),4663000000.0,,,CNY
72,000001.SZ,20171231,利息收入:发放贷款及垫款(产品),94976000000.0,,,CNY
73,000001.SZ,20171231,利息收入:债券投资(产品),32170000000.0,,,CNY
74,000001.SZ,20171231,利息收入:其他(产品),4056000000.0,,,CNY
75,000001.SZ,20171231,利息收入:金融企业往来:同业转贴现及买入返售票据(产品),1666000000.0,,,CNY
76,000001.SZ,20171231,利息收入:金融企业往来(产品),10726000000.0,,,CNY
77,000001.SZ,20171231,利息收入:交易性金融资产(产品),1908000000.0,,,CNY
78,000001.SZ,20171231,利息收入:发放贷款及垫款:票据贴现业务(产品),201000000.0,,,CNY
79,000001.SZ,20171231,利息收入:发放贷款及垫款:公司贷款业务(产品),41497000000.0,,,CNY
80,000001.SZ,20171231,利息收入:发放贷款及垫款:个人贷款业务(产品),53278000000.0,,,CNY
81,000001.SZ,20171231,利息收入:存放中央银行款项(产品),4232000000.0,,,CNY
82,000001.SZ,20171231,利息收入(产品),148068000000.0,,,CNY
83,000001.SZ,20171231,非利息收入:手续费及佣金收入(产品),35725000000.0,,,CNY
84,000001.SZ,20171231,非利息收入:手续费及佣金收入:银行卡业务(产品),18511000000.0,,,CNY
85,000001.SZ,20171231,非利息收入:手续费及佣金收入:其他(产品),5246000000.0,,,CNY
86,000001.SZ,20171231,非利息收入:手续费及佣金收入:理财业务(产品),3567000000.0,,,CNY
87,000001.SZ,20171231,非利息收入:手续费及佣金收入:结算业务(产品),2392000000.0,,,CNY
88,000001.SZ,20171231,非利息收入:手续费及佣金收入:代理委托业务(产品),3350000000.0,,,CNY
89,000001.SZ,20171231,非利息收入:手续费及佣金收入:财务顾问业务(产品),2659000000.0,,,CNY
90,000001.SZ,20180630,利息收入:发放贷款及垫款(产品),53757000000.0,,,CNY
91,000001.SZ,20180630,利息收入:金融企业往来(产品),5908000000.0,,,CNY
92,000001.SZ,20180630,利息收入:存放中央银行款项(产品),2051000000.0,,,CNY
93,000001.SZ,20180630,利息收入:金融投资利息收入(产品),17634000000.0,,,CNY
94,000001.SZ,20180630,利息收入:其他(产品),2658000000.0,,,CNY
95,000001.SZ,20180630,非利息收入:手续费及佣金收入:银行卡业务(产品),13766000000.0,,,CNY
96,000001.SZ,20180630,非利息收入:手续费及佣金收入:理财业务(产品),630000000.0,,,CNY
97,000001.SZ,20180630,非利息收入:手续费及佣金收入:代理委托业务(产品),2066000000.0,,,CNY
98,000001.SZ,20180630,非利息收入:手续费及佣金收入:财务顾问业务(产品),984000000.0,,,CNY
99,000001.SZ,20180630,非利息收入:手续费及佣金收入:结算业务(产品),1306000000.0,,,CNY
100,000001.SZ,20180630,非利息收入:手续费及佣金收入:其他(产品),2309000000.0,,,CNY
101,000001.SZ,20180630,利息收入:发放贷款及垫款:个人贷款业务(产品),34204000000.0,,,CNY
102,000001.SZ,20180630,利息收入:发放贷款及垫款:公司贷款业务(产品),19425000000.0,,,CNY
103,000001.SZ,20181231,利息收入:发放贷款及垫款:个人贷款业务(产品),78926000000.0,,,CNY
104,000001.SZ,20181231,利息收入:发放贷款及垫款:公司贷款业务(产品),39021000000.0,,,CNY
105,000001.SZ,20181231,利息收入:金融企业往来(产品),10933000000.0,,,CNY
106,000001.SZ,20181231,利息收入:存放中央银行款项(产品),4002000000.0,,,CNY
107,000001.SZ,20181231,利息收入:金融投资利息收入(产品),28363000000.0,,,CNY
108,000001.SZ,20181231,利息收入:其他(产品),1406000000.0,,,CNY
109,000001.SZ,20181231,非利息收入:手续费及佣金收入:银行卡业务(产品),25266000000.0,,,CNY
110,000001.SZ,20181231,非利息收入:手续费及佣金收入:理财业务(产品),1514000000.0,,,CNY
111,000001.SZ,20181231,非利息收入:手续费及佣金收入:代理委托业务(产品),4123000000.0,,,CNY
112,000001.SZ,20181231,非利息收入:手续费及佣金收入:财务顾问业务(产品),1463000000.0,,,CNY
113,000001.SZ,20181231,非利息收入:手续费及佣金收入:结算业务(产品),2477000000.0,,,CNY
114,000001.SZ,20181231,非利息收入:手续费及佣金收入:其他(产品),4519000000.0,,,CNY
115,000002.SZ,20151231,物业管理,2970383842.24,686993444.18,2283390398.06,CNY
116,000002.SZ,20151231,其他业务,2365910370.48,2029033341.64,336877028.84,CNY
117,000002.SZ,20151231,房地产,190212835808.18,54682474558.84,135530361249.34,CNY
118,000002.SZ,20160630,物业管理,1764995731.18,436774099.46,1328221631.72,CNY
119,000002.SZ,20160630,房地产,72484392187.12,18879891054.92,53604501132.2,CNY
120,000002.SZ,20160630,其他业务,545906387.99,361141246.21,184765141.78,CNY
121,000002.SZ,20161231,房地产,234140296577.54,67965384782.39,166174911795.15,CNY
122,000002.SZ,20161231,物业管理,4260251414.57,941452601.65,3318798812.92,CNY
123,000002.SZ,20161231,其他业务,2076688931.23,1827996107.53,248692823.7,CNY
124,000002.SZ,20170630,房地产,65523464141.24,21238104422.05,44285359719.19,CNY
125,000002.SZ,20170630,物业管理,2998736385.0,662589414.79,2336146970.21,CNY
126,000002.SZ,20170630,其他业务,1288277041.25,894759061.28,393517979.97,CNY
127,000002.SZ,20171231,房地产,233013061825.96,79627870126.56,153385191699.4,CNY
128,000002.SZ,20171231,其他业务,2757461422.63,1855370456.2,902090966.43,CNY
129,000002.SZ,20171231,物业管理,7126587001.93,1333953764.33,5792633237.6,CNY
130,000002.SZ,20180630,其他业务,1180725845.2,875906636.54,304819208.66,CNY
131,000002.SZ,20180630,房地产,100636111261.53,34898874646.94,65737236614.59,CNY
132,000002.SZ,20180630,物业管理,4157700163.21,719842550.13,3437857613.08,CNY
133,000002.SZ,20181231,其他业务,3262557336.47,2214192550.75,1048364785.72,CNY
134,000002.SZ,20181231,房地产,284621125354.51,107535217015.46,177085908339.05,CNY
135,000002.SZ,20181231,物业管理,9795648412.21,1825697295.17,7969951117.04,CNY
136,000008.SZ,20151231,机车车辆运营维护系列,765598471.06,374882715.47,390715755.59,CNY
137,000008.SZ,20151231,其他,64962379.07,42999994.82,21962384.25,CNY
138,000008.SZ,20151231,酒店,306093159.35,130357125.4,175736033.95,CNY
139,000008.SZ,20151231,供电系统运营维护系列,148661871.34,62292709.07,86369162.27,CNY
140,000008.SZ,20151231,站段调度系列,9760215.39,4405872.6,5354342.79,CNY
141,000008.SZ,20160630,工务维护系列,106133325.64,48065798.07,58067527.57,CNY
142,000008.SZ,20160630,供电系统运营维护系列,41952304.11,21414266.04,20538038.07,CNY
143,000008.SZ,20160630,轨道交通信号系统,74247820.11,38606096.84,35641723.27,CNY
144,000008.SZ,20160630,机车车辆运营维护系列,218240051.02,114815877.23,103424173.79,CNY
145,000008.SZ,20160630,酒店,150609319.5,64564230.1,86045089.4,CNY
146,000008.SZ,20160630,其他,24625787.01,13136738.55,11489048.46,CNY
147,000008.SZ,20161231,机车车辆运营维护系列,813973465.43,461937571.59,352035893.84,CNY
148,000008.SZ,20161231,供电系统运营维护系列,127671094.26,62842456.39,64828637.87,CNY
149,000008.SZ,20161231,轨道交通信号系统,339517140.93,184286568.82,155230572.11,CNY
