,date,value,change
0,2015-12-31,50.89143,0.0
1,2016-01-04,47.1093,-0.0743176208646525
2,2016-01-05,46.883669999999995,-0.0047895001623883705
3,2016-01-06,47.45004,0.01208032562297291
4,2016-01-07,43.83282,-0.07623218020469537
5,2016-01-08,44.35871,0.011997630998872626
6,2016-01-11,42.30301,-0.046342646122937335
7,2016-01-12,42.61229,0.007311063680811391
8,2016-01-13,41.73332,-0.02062714770785617
9,2016-01-14,43.29191,0.03734641768256162
10,2016-01-15,42.15805,-0.026191036616310035
11,2016-01-18,42.6336,0.011280170691006779
12,2016-01-19,44.3605,0.04050561059821363
13,2016-01-20,43.39277,-0.02181512832362131
14,2016-01-21,41.89163,-0.034594242312717065
15,2016-01-22,42.41211,0.012424438963105498
16,2016-01-25,42.85913,0.01053991418960297
17,2016-01-26,40.63218,-0.051959757465912214
18,2016-01-27,40.59007,-0.0010363706795943753
19,2016-01-28,39.27939,-0.032290656310767586
20,2016-01-29,40.6987,0.03613370777906691
21,2016-02-01,40.38739,-0.007649138670276909
22,2016-02-02,41.52632,0.02820013870666054
23,2016-02-03,41.71665,0.004583358217150063
24,2016-02-04,42.66265,0.02267679691442141
25,2016-02-05,42.15111999999999,-0.011990113131744222
26,2016-02-15,42.156670000000005,0.0001316690991844039
27,2016-02-16,43.49897,0.03184075023003464
28,2016-02-17,43.50116,5.034601968733522e-05
29,2016-02-18,43.42779,-0.0016866216900881966
30,2016-02-19,43.46457,0.0008469231337813934
31,2016-02-22,44.28367,0.018845234175789587
32,2016-02-23,44.053110000000004,-0.005206433884093097
33,2016-02-24,44.25018000000001,0.004473463962022287
34,2016-02-25,41.55216,-0.06097195536831729
35,2016-02-26,41.94011,0.009336458080638804
36,2016-02-29,40.40764,-0.03653948451732712
37,2016-03-01,41.21568,0.019997208448699264
38,2016-03-02,42.91982,0.04134688545718529
39,2016-03-03,42.934889999999996,0.0003511198322824831
40,2016-03-04,42.94813,0.00030837391221925225
41,2016-03-07,43.157520000000005,0.00487541599599345
42,2016-03-08,43.09231,-0.0015109765343330093
43,2016-03-09,42.36435,-0.016893037295981485
44,2016-03-10,42.08298,-0.00664166923368357
45,2016-03-11,41.89046,-0.004574771083226564
46,2016-03-14,42.90312,0.024174000476480897
47,2016-03-15,43.34082,0.010202055235143727
48,2016-03-16,42.97368,-0.00847099801065137
49,2016-03-17,44.21286,0.02883578972059171
50,2016-03-18,45.06882,0.019359978069729104
51,2016-03-21,46.203900000000004,0.02518548300133001
52,2016-03-22,46.24974999999999,0.000992340473422964
53,2016-03-23,46.37145,0.0026313655749492975
54,2016-03-24,46.451640000000005,0.001729296797922035
55,2016-03-25,46.546189999999996,0.0020354502015427446
56,2016-03-28,46.954589999999996,0.008774080112679477
57,2016-03-29,46.28227,-0.014318514973722466
58,2016-03-30,47.72113,0.031088794910016416
59,2016-03-31,47.750370000000004,0.0006127264798633538
60,2016-04-01,47.409839999999996,-0.007131463065103123
61,2016-04-05,48.13069,0.01520464949892271
62,2016-04-06,49.004850000000005,0.01816221624913342
63,2016-04-07,48.34317,-0.01350233701358139
64,2016-04-08,47.826840000000004,-0.010680515986022356
65,2016-04-11,47.99712,0.0035603439407662766
66,2016-04-12,47.54178,-0.009486819209152541
67,2016-04-13,47.803110000000004,0.005496849297607303
68,2016-04-14,48.11998,0.006628648219749602
69,2016-04-15,48.021840000000005,-0.0020394854694452008
70,2016-04-18,47.65182,-0.007705244113928241
71,2016-04-19,47.77577,0.0026011598297819615
72,2016-04-20,46.58113,-0.025005143820811253
73,2016-04-21,45.971920000000004,-0.013078471904824923
74,2016-04-22,46.98031,0.021934911572107463
75,2016-04-25,46.56403,-0.008860733358294154
76,2016-04-26,46.64795000000001,0.0018022495046070156
77,2016-04-27,46.100789999999996,-0.011729561534858707
78,2016-04-28,46.399660000000004,0.0064829691638691655
79,2016-04-29,46.60793,0.00448861047688709
80,2016-05-03,48.20376,0.034239452385034036
81,2016-05-04,48.029619999999994,-0.0036125812592214465
82,2016-05-05,48.41024,0.007924693137276697
83,2016-05-06,46.84411,-0.03235121329702148
84,2016-05-09,46.12527,-0.015345365724741064
85,2016-05-10,45.988820000000004,-0.0029582482660805327
86,2016-05-11,46.27393,0.006199550238514403
87,2016-05-12,46.726929999999996,0.009789529439146315
88,2016-05-13,46.401559999999996,-0.006963222278887133
89,2016-05-16,46.881919999999994,0.010352238157510168
90,2016-05-17,46.75952,-0.0026108145741469604
91,2016-05-18,45.746089999999995,-0.021673233600345055
92,2016-05-19,46.14116,0.008636147919964397
93,2016-05-20,46.482290000000006,0.007393182139330845
94,2016-05-23,47.04456,0.012096435007827516
95,2016-05-24,46.06472,-0.02082791294041215
96,2016-05-25,45.58436999999999,-0.0104277199557494
97,2016-05-26,45.71535,0.002873353300703906
98,2016-05-27,42.80144,-0.0637402972962036
99,2016-05-30,42.81168000000001,0.00023924428710833656
100,2016-05-31,44.333510000000004,0.035547075003830586
101,2016-06-01,44.444050000000004,0.002493373522646871
102,2016-06-02,44.57162,0.002870350474360429
103,2016-06-03,45.933229999999995,0.030548811104464942
104,2016-06-06,45.73048,-0.004414015735448926
105,2016-06-07,45.836330000000004,0.00231464878566776
106,2016-06-08,45.44095,-0.008625908749675266
107,2016-06-13,43.78263,-0.036493955342042875
108,2016-06-14,44.219210000000004,0.00997153437333496
109,2016-06-15,45.22901999999999,0.0228364550158175
110,2016-06-16,44.83435,-0.008726034744948947
111,2016-06-17,45.32899999999999,0.011032835314886753
112,2016-06-20,45.487680000000005,0.0035006287365706512
